F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
25.46,-225.08,-177.02,137.97,Very high,4.08,-140.19,15882.39,-3728.44,-145.22,18999.63,864.51,206.16,28.14,69.84,363.81,2544.92,81.13,-3011.02,1.41,-3042.26,2.1,927.2,1481.5,3284.64,21,8,-6987.02,1137.9,-76.74,-2.16,4.84,20.7,USA,-413.31,-1451.18,3179.17
60.52,-209.14,-202.85,85.5,Very high,16.8,-248.01,10796.76,-2575.88,-233.3,26919.51,378.45,180.5,9.03,50.67,233.25,2045.32,-347.79,-14265.94,4.74,-3568.24,2.54,8836.87,1471,2645.34,12,10,-4631.3,1138.32,-55.38,-3.84,11.47,20.94,Europe,-242.97,-1583.66,2784.99
9.27,-319,-185.33,61.49,Low,9.12,-151.2,8993.31,-4532.7,-176.56,15391.92,541.59,197.01,-5.1,35.67,231.78,1288.82,-253.66,-13050.68,9.99,-3970.3,7.82,2960.13,2835.14,2368.23,6,4,439.48,-120.54,-82.86,-12.9,1.95,17.37,Europe,-257.25,-1360.91,1174.61
-41.74,-233.16,-206.1,114.58,Very high,19.23,-161.76,8527.65,-4896.54,-108.32,15568.62,562.44,199.27,9.78,41.22,105.12,2556.34,-172.58,-7840.24,0.36,-3904.04,7.58,5972.11,1186.68,1650.99,3,12,-1263.93,1529,-62.67,-9.26,16.53,16.41,Europe,-419.46,-744.03,453.84
68.15,-279.8,-172.72,95.61,Very low,12.33,-162.03,17019.57,-4590.98,-143.82,26961.45,467.85,226.9,4.35,32.67,274.89,1225.4,-534.59,-9720.96,4.83,-1780.94,0.24,8710.94,1880.82,2568.99,15,8,-700.65,834.52,-76.35,-11.68,13.95,18.87,UK,-353.49,-1026.62,-402.8
5.39,-125.12,-199.99,107.45,Very low,16.89,-154.98,6882.75,-2859.96,-175.84,31672.26,603.36,212.56,-2.01,69.81,322.2,1382.72,-689.49,-7060.76,2.22,-3902.42,14.38,8778.53,2112.02,2811.48,3,4,-2558.48,718.74,-77.34,-22.34,16.13,19.1,UK,-311.76,-348.57,-1732.95
33.3,-111.52,-214.34,148.94,Medium,34.71,-162.2,4148.52,-3982.86,-109.38,23133.27,474.81,112.18,31.92,48.84,191.46,720.24,-19.92,723.08,0.75,-4345.74,1.24,6487.94,1635.52,3109.26,15,6,-1358.62,2269.8,-70.41,-8.16,10.57,20.24,USA,-168.57,-1658.67,932.03
42.31,-197.46,-227.04,77.55,Low,14.58,-189.03,19947.39,-4476.82,-265.26,29500.23,352.62,171.65,2.28,42.84,297.18,3278.76,-73.04,-19900.32,2.34,-3436.86,19.44,9444.36,2680.8,3205.86,18,6,2578.91,1057.62,-58.98,-23.4,9.35,14.5,Rest,-428.52,-1077.76,-227.3
108.43,-193.4,-211.12,108.98,Low,-17.37,-165.89,23029.92,-4656.6,-105.6,5390.49,480.57,138.49,13.17,10.23,224.58,2119.04,128.91,339.38,5.25,-4734.84,3.28,10586.62,2572.48,3106.26,18,6,-924.7,1086.44,-73.14,-8.52,6.89,17.79,USA,-458.73,-1161.6,478.61
-5.37,-231.68,-184.05,124.94,Very high,7.47,-166.38,6505.92,-3908.18,-10.48,28143.72,473.46,167.82,-3.36,49.53,311.91,2076.92,-193.89,-11201.16,3.27,-4475.26,4.6,8197.42,1493.6,560.34,12,10,296.34,726.64,-78.03,-6.1,9.24,18.96,Rest,-253.47,-1359.82,759.11
144.29,-297.3,-219.89,108.9,High,1.41,-190.11,7641.12,-4329.96,-72.56,35430.45,455.01,88.76,22.62,47.58,249,1124.9,-307.21,3756.8,0.99,-4424.76,15.34,9852,3104.78,1690.95,6,8,-503,637.84,-40.89,-5.26,8.37,23.24,USA,-229.38,-1664.99,3525.53
69.57,-66.96,-220.23,142.82,High,27.06,-141.96,25643.13,-4408.24,-141.54,11594.04,572.7,191.29,16.2,26.22,218.19,1865.26,-85.66,-14322.14,6.21,-4517.94,8.82,9224.71,2095.48,2292.87,9,16,28.62,1771.08,-45.6,-8.78,9.55,21.26,Rest,-236.67,-1962.22,1320.11
41.8,-245.56,-173.93,107.72,High,25.98,-196.64,2165.67,-4558.18,-74.2,20981.88,417.66,192.23,14.34,25.83,249.78,1568.54,-23.06,-3158.44,92.7,-3909.62,2.82,6572.03,1883.06,2850.93,15,10,-3123.01,917.92,-72.93,-9.62,0.85,16.32,Europe,-471.78,-1134.4,730.7
-14.4,-203.46,-235.74,107.61,Low,19.89,-120.56,13012.35,-4858.84,-245.28,34855.2,539.1,128.26,17.25,37.05,301.59,1826.64,-283.81,-5752.42,1.5,-4319.94,7.92,911.19,2220,2298.72,9,6,948.44,511.08,-72.9,-4.4,10.99,17.97,UK,-234.24,-878.35,583.04
20.94,-198.5,-185.36,133.99,Low,22.41,-171.78,13986.72,-4760.48,-108.2,22805.55,581.04,206.04,15.36,30.12,319.98,2331.16,-566.12,-15094.54,1759.02,-3324.92,3.98,8697.24,2608.76,3577.35,12,2,-7280.43,788.92,-75,-8.26,11.32,22.32,UK,-247.71,-1026.7,1632.33
-23.16,-216.06,-218.91,78.05,Very low,35.49,-178.76,23237.04,-4557.86,-199.42,10742.22,618.09,61.52,6.99,18.63,300,2171.44,-104.18,-5212.62,722.31,-2774.72,8.54,4057.72,2012.84,1319.88,18,4,-835.84,933.78,-79.47,-12.2,9.74,16.5,Europe,-305.73,-1462.16,1669.01
73.38,-111.88,-213.79,58.45,Very low,6.72,-130.94,7341.15,-4808.56,-268.9,32147.31,544.35,154.43,7.23,14.49,294.9,1417.14,-307.06,-16339.18,40.65,-4146.48,7.28,6455.91,1235.86,1167.03,15,10,-3826.89,27.12,-80.13,-4.48,7.74,26.09,Europe,-559.74,-1136.23,14.18
52.66,-270.32,-202.71,74.64,Very high,25.8,-184.36,6528.57,-1449.46,-233.68,25072.29,558.48,235.3,25.89,38.82,195.69,1749.54,-407.69,-4637.98,1.5,-4102.46,5.4,11707.09,2814.28,2821.8,6,10,-304.98,1235.54,-90.87,-1.72,-3.7,19.62,UK,-231.3,-389.12,794.82
65.66,-251.44,-149.2,75.5,Very low,13.11,-220.04,9505.08,-3958.74,-175.48,22391.46,579.18,152.04,10.8,39.57,254.4,2005.94,-549.35,-2625.28,31.65,-3569.52,7.36,8497.69,2768.2,2604.54,18,12,4167.46,475.68,-70.53,-3.98,11.31,16.26,USA,-339.9,-1089.7,81.24
12.07,-237.62,-155.22,149.81,Very low,16.14,-154.76,6013.05,-3827.92,-55.66,11802.87,259.14,202.38,1.35,63.84,333,1986.52,-615.5,-13720.22,109.65,-3562.84,9.46,7200.05,1842.16,3101.73,12,0,1239.65,-336.58,-76.38,-6.02,12.62,19.09,UK,-288.48,-1588.16,1718.51
-16.91,-188.46,-214.48,88.77,Very low,11.22,-186.71,19929.6,-4955.68,-167.46,39535.05,433.26,174.58,10.38,59.67,335.34,2710,159.46,-6617.88,0.81,-3942.46,7.18,3468.04,2708.22,674.64,15,12,-2079.82,805.7,-52.05,-10.14,21.13,8.97,USA,-353.01,-1475.69,33.17
37.73,-141.02,-158.79,66.39,High,15.63,-124.02,10216.47,-5180.54,-231.64,10880.22,425.88,143.65,5.31,29.94,228.78,822.24,-210.69,-13884.72,1.92,-5018.9,2.16,4093.96,2989.48,3008.28,15,8,-2199.51,1048.14,-85.44,-2.78,12.78,19.45,Rest,-175.02,-1332.63,641
12.84,-87.14,-161.52,144.8,Very high,11.43,-37.4,16835.91,-5274.2,-249.18,28849.5,527.97,358.79,20.22,37.44,297,1099.58,-827.53,-5617.04,0.09,-2978.62,10.24,7174.49,2238.24,1860.45,3,14,586.98,640.72,-85.14,-7.6,9.66,15.15,USA,-287.37,-1294.91,2274.28
103.39,-118.9,-159.09,96.09,Medium,16.77,-270.33,11341.29,-4734.66,-157.88,25205.46,598.08,89.43,15.42,41.58,103.41,2101.6,-687.51,-13331.44,237.48,-4222.18,11.12,6500.06,2117.4,2330.31,24,4,-990.15,466.34,-42.03,-8.38,12.22,19.6,Europe,-319.08,-1209.47,804.78
-5.07,-99.78,-195.12,38.74,Low,36.54,-158.15,14537.22,-4015.98,-175.96,12411.21,449.82,181.14,26.67,34.44,228.09,1321.86,-121.73,-10544.84,0.18,-4143.66,4.5,8811.65,2322.4,3641.19,18,10,248.73,641.02,-80.46,-13.44,10.03,19.44,Rest,-405.9,-1267.77,-179.09
81.7,39.5,-226.31,145.41,Very high,14.16,-171.01,14228.46,-4009.96,-152.08,31570.2,618.66,171.37,-3.6,44.13,241.77,2025.6,-1022.27,-2027.62,366.96,-3675.98,6.92,10460.42,2140.82,3191.7,15,6,-2648.52,1042.86,-82.77,-12.08,8.84,18.09,Europe,-353.4,-1172.28,2313.85
31.55,-209.8,-214.72,118.67,Very low,23.1,-166.09,15870.12,-4577.92,-208.62,9644.61,577.56,176,11.25,35.82,256.86,2402.92,-608.85,-1556.62,11.55,-4155.86,2.32,2133.73,1045.9,1400.37,12,2,304.02,1485.04,-73.44,-10.58,12.6,19,UK,-281.04,-1111.52,550.01
48.13,-217.36,-158.4,126.44,Very high,4.23,-149.38,-2457.42,-5477.7,-140.9,24415.11,566.76,94.08,19.17,17.4,303.9,2330.32,58.79,-9242.18,32.13,-4785.38,4.16,10140.78,3488.36,3096.69,6,8,-4200.75,1391.82,-74.13,-11.54,11.92,18.4,Europe,-275.4,-1420.54,2460.28
52.25,-152.64,-199.69,96.47,High,24.72,-171.01,11779.62,-6503.88,-151.2,23161.5,487.71,111.74,24.33,65.94,382.53,1888.18,-296.99,-6445.88,0.21,-4162.96,13.28,12040.55,2362.86,2926.95,18,4,-1726.47,1777.34,-45.03,-7.96,6.55,19.17,Europe,-379.38,-1294.31,158.71
85.38,-325,-136.91,113.32,Very low,24,-213.1,7147.8,-4552.82,-242.94,21934.86,533.19,211.54,27.93,31.17,343.02,2711.42,-712.11,-12576.1,1723.77,-3838.2,11.56,10891.49,2603.92,3597.63,9,6,-2510.41,1204.32,-79.23,-17.02,14.62,11.94,USA,-336.72,-1438.44,1478.39
14.9,-176.92,-178.69,132.99,Very low,8.19,-136.94,22818.9,-4247.64,-84.32,26657.19,530.16,70.28,2.43,18.6,183.69,1583.92,-921.65,-8936.56,209.16,-1371.98,0.86,1501.96,1975.92,1788.27,15,12,4737.85,1087.88,-77.91,-4.42,13.04,21.99,UK,-370.95,-708.42,422.34
74.1,-141.94,-268.02,123.78,Very high,15.63,-145.23,9184.32,-3822.06,-186.04,26067.72,623.85,164.13,20.01,33.42,319.23,2410.84,-30.55,-6541.88,0.06,-6018.38,5.22,7494.1,1550.62,2264.16,9,4,-2138.79,947,-95.43,-5.72,14.69,16.3,Rest,-413.04,-899.59,424.14
59.22,-327.02,-222.69,169.06,High,20.49,-92.92,13883.91,-4050.22,-118.5,14442.03,554.46,196.87,19.77,27.99,352.98,1186.42,-508.82,-4597.14,33.9,-4657.04,0.82,2651.87,3035.78,3094.41,9,14,-872.8,33.26,-76.53,-35.02,16.52,23.51,UK,-421.47,-1482.75,-900.33
77.98,-196.96,-194.82,72.51,High,9.6,-236.6,24149.46,-4299.06,-58.38,34642.86,554.1,163.45,9.15,41.79,275.88,2556.1,-416.32,-1186.74,3698.64,-4051.64,2.18,11.17,2281.94,3904.26,6,8,-58.4,870.9,-81.03,-5.16,8.87,17.83,Rest,-363.87,-1103.37,2107.14
42.34,-179.02,-161.79,116.91,Medium,6.18,-223.99,63.75,-4551.56,-164.08,31194.72,670.2,178.54,13.65,-3.87,254.61,1040.44,-795.88,-11647.86,0.03,-3000.32,12.64,10911.57,2344.06,1689.87,6,10,1168.51,356.62,-96.54,-2.8,9.78,20.6,USA,-222.45,-1950.75,2779.72
58.89,-263.96,-158.85,138.71,Very low,7.62,-136.31,8839.17,-4498.5,-94.88,3327.36,574.26,185.86,-1.32,39.21,158.82,2269.12,-212.22,-4845.78,4.41,-2951.36,5.6,10800.23,2521.96,1838.73,6,6,2854.48,-151.88,-87.12,-14.12,9.48,18.22,Rest,-284.94,-1133.35,73.19
46.43,-244.6,-173.62,107.41,High,18.24,-123.55,14070.81,-6091.98,-110.36,25574.4,269.61,174.4,2.58,29.22,356.91,2309.16,-300.46,-1952.78,0.6,-3614.3,6.82,7119.36,1271.8,3105.09,15,10,2444.38,213.98,-68.94,-10.06,11.07,19.04,USA,-366.84,-166.58,-154.7
63.94,-66.24,-93.03,180.45,Very high,26.7,-149.42,9791.7,-4426.08,-247.38,43097.1,630.57,126.17,23.58,46.05,448.29,753.62,-438.98,-6576.1,2.34,-4412.24,1.86,6371.9,2328.04,2519.94,15,16,-6497.04,1374.64,-75.93,-6.42,11.24,11.98,UK,-356.76,-1237.38,615.44
28.57,-306.76,-211.31,74.07,Medium,4.92,-114.76,23396.64,-3104.36,-96.8,29761.32,398.34,136.2,3,26.82,282.87,2407.88,-461.6,-9266.84,0.78,-4460.08,8.12,7020.26,1906.14,1451.7,9,8,-6618.33,1090.94,-70.2,-13.74,13.03,7.85,UK,-480.12,-872.11,82.37
-162.27,-244.1,-197.32,89.2,Very low,16.17,-186.49,12915.54,-3861.38,-204.38,29146.05,473.49,173.24,-4.98,24.66,213.78,2129.42,-263.87,-11481.6,0.27,-3520.54,13.22,10362.94,1610.48,2176.77,15,10,503.49,777.72,-74.67,-9.92,10.23,15.01,USA,-344.79,-1320.78,-121.94
0.16,-256.4,-166.8,117.39,Low,5.76,-119.17,23984.07,-4288.42,-81.1,23134.02,533.79,92.04,5.1,16.92,259.56,2520,-263.08,-1887.14,2.88,-2891.2,22.94,8009.53,2200.64,2587.74,12,4,-3920.07,549.8,-74.79,-3.64,12.96,19.34,USA,-383.91,-1061.5,2236.97
83.36,-89.24,-168.38,105.41,Very low,17.19,-159.22,9422.61,-4147.64,-208.76,24239.19,563.88,168.65,13.32,35.34,271.74,1403.98,-339.49,-13745.24,1.74,-4226.7,2.14,6396.05,2759.7,2097.81,0,8,3430.97,1120,-81.27,-8.24,11.07,16.67,Rest,-463.89,-1627.43,760.96
21.06,-312.66,-207.41,121.23,Very low,27.96,-205.59,19613.61,-4247.32,-224.42,27902.55,281.79,187.51,8.64,29.73,115.62,1249.62,-412.43,-6375.02,0.03,-3435.7,6.28,6654.85,3120.14,1715.61,12,0,1994.57,940.12,-74.97,-6.74,5.86,25.66,USA,-235.44,-1333.02,370.75
27.99,-255.78,-178.19,111.74,Very low,9.72,-179.02,4826.13,-4201.64,-134.28,20950.47,508.32,162.51,19.83,29.85,195.96,1896.46,-271.63,-3918.64,5.34,-4360.48,16.72,9728.1,2726.12,1212.09,9,8,-429.53,1989.06,-82.86,-9.56,11.9,18.74,Rest,-419.52,-1040.62,6.64
26.95,-109.18,-194.07,114.25,Very low,17.22,-128.79,19066.77,-3538.04,-164.02,26824.32,582.06,226.46,27,36.36,255.69,1343.78,248.14,-10064.16,2.82,-4275.92,0.4,4852.7,1533.04,1768.5,6,8,-4043.98,1202.62,-53.19,-16.52,11,17.95,UK,-250.2,-875.65,-447.31
76.6,-225.8,-173.87,112.2,High,6.12,-201.47,2181.09,-4489.48,-139.02,17449.89,590.01,189.71,7.5,10.11,338.76,1813.5,-262.15,-4983.84,1.23,-3125.44,3.74,8776.17,2107.06,3096.93,18,6,-4911.64,1444.32,-75.93,-10.38,11.38,16.06,Rest,-314.25,-946.88,-44.3
19.89,-232.4,-195.69,143.59,Very high,3.63,-159.56,6788.34,-4456.38,-72.38,23102.4,512.67,193.65,12.03,39.87,332.16,2515.68,-183.91,-4454.48,20683.29,-4717.78,6.5,11872.55,1195.78,3390.15,15,10,6733.81,556.06,-93.48,-10.26,11.21,16.28,USA,-427.56,-1192.52,3637.67
